code	longitude	latitude	country	ourairports_id	ourairports_ident	ourairports_iata	ourairports_type	openflights_airport_id	openflights_route_id
WUH	114.2080	30.7838	CHN	27200	ZHHH	WUH	large_airport	3376	3376
PEK	116.5850	40.0801	CHN	27188	ZBAA	PEK	large_airport	3364	3364
PVG	121.8050	31.1434	CHN	27223	ZSPD	PVG	large_airport	3406	3406
CAN	113.2990	23.3924	CHN	27194	ZGGG	CAN	large_airport	3370	3370
HKG	113.9150	22.3089	CHN	26535	VHHH	HKG	large_airport	3077	3077
BKK	100.7470	13.6811	THA	28118	VTBS	BKK	large_airport	3885	3885
SIN	103.9940	1.3502	SGP	26887	WSSS	SIN	large_airport	3316	3316
ICN	126.4510	37.4691	KOR	5653	RKSI	ICN	large_airport	3930	3930
CDG	2.5500	49.0128	FRA	4185	LFPG	CDG	large_airport	1382	1382
NRT	140.3860	35.7647	JPN	5531	RJAA	NRT	large_airport	2279	2279
LHR	-0.4619	51.4706	GBR	2434	EGLL	LHR	large_airport	507	507
JFK	-73.7789	40.6398	USA	3622	KJFK	JFK	large_airport	3797	3797
LAX	-118.4080	33.9425	USA	3632	KLAX	LAX	large_airport	3484	3484
DEL	77.1031	28.5665	IND	26555	VIDP	DEL	large_airport	3093	3093
SYD	151.1770	-33.9461	AUS	27145	YSSY	SYD	large_airport	3361	3361
AKL	174.7920	-37.0081	NZL	5023	NZAA	AKL	large_airport	2006	2006
DXB	55.3644	25.2528	ARE	5235	OMDB	DXB	large_airport	2188	2188
JNB	28.2460	-26.1392	ZAF	31055	FAOR	JNB	large_airport	813	813
GRU	-46.4731	-23.4356	BRA	5910	SBGR	GRU	large_airport	2564	2564
FRA	8.5706	50.0333	DEU	2212	EDDF	FRA	large_airport	340	340
MEL	144.8430	-37.6733	AUS	27066	YMML	MEL	large_airport	3339	3339
ORD	-87.9048	41.9786	USA	3754	KORD	ORD	large_airport	3830	3830
SFO	-122.3750	37.6190	USA	3878	KSFO	SFO	large_airport	3469	3469
ATL	-84.4281	33.6367	USA	3384	KATL	ATL	large_airport	3682	3682
MIA	-80.2906	25.7932	USA	3685	KMIA	MIA	large_airport	3576	3576
BOM	72.8679	19.0887	IND	26434	VABB	BOM	large_airport	2997	2997
BLR	77.7063	13.1979	IND	35145	VOBL	BLR	large_airport	3131	3131
MAA	80.1693	12.9900	IND	26618	VOMM	MAA	large_airport	3144	3144
BNE	153.1170	-27.3842	AUS	26901	YBBN	BNE	large_airport	3320	3320
PER	115.9670	-31.9403	AUS	27119	YPPH	PER	large_airport	3351	3351
GIG	-43.2506	-22.8100	BRA	5906	SBGL	GIG	large_airport	2560	2560
BSB	-47.9208	-15.8692	BRA	5872	SBBR	BSB	large_airport	2531	2531
HND	139.7800	35.5523	JPN	5627	RJTT	HND	large_airport	2359	2359
CTS	141.6920	42.7752	JPN	5544	RJCC	CTS	large_airport	2287	2287
FUK	130.4510	33.5859	JPN	5564	RJFF	FUK	large_airport	2305	2305
ITM	135.4380	34.7855	JPN	5598	RJOO	ITM	large_airport	2334	2334
OKA	127.6460	26.1958	JPN	5671	ROAH	OKA	large_airport	2384	2384
YYZ	-79.6306	43.6772	CAN	1990	CYYZ	YYZ	large_airport	193	193
YVR	-123.1840	49.1939	CAN	1941	CYVR	YVR	large_airport	156	156
YUL	-73.7408	45.4706	CAN	1928	CYUL	YUL	large_airport	146	146
CPT	18.6017	-33.9648	ZAF	2775	FACT	CPT	large_airport	797	797
DUR	31.1197	-29.6144	ZAF	300795	FALE	DUR	large_airport	799	799
CGK	106.6560	-6.1256	IDN	26835	WIII	CGK	large_airport	3275	3275
DPS	115.1670	-8.7482	IDN	26751	WADD	DPS	large_airport	3940	3940
IST	28.7519	41.2753	TUR	317457	LTFM	IST	large_airport	13696	1701
AYT	30.8005	36.8987	TUR	4515	LTAI	AYT	large_airport	1688	1688
EDI	-3.3725	55.9500	GBR	2462	EGPH	EDI	large_airport	535	535
NCE	7.2159	43.6584	FRA	4156	LFMN	NCE	large_airport	1354	1354
TXL	13.2877	52.5597	DEU	2223	DE-0876		closed	351	351
GMP	126.7910	37.5583	KOR	5656	RKSS	GMP	large_airport	2378	2378
CJU	126.4930	33.5113	KOR	5639	RKPC	CJU	large_airport	2370	2370
CHC	172.5320	-43.4894	NZL	5026	NZCH	CHC	large_airport	2009	2009
EZE	-58.5358	-34.8222	ARG	5781	SAEZ	EZE	large_airport	3988	3988
COR	-64.2080	-31.3236	ARG	5773	SACO	COR	large_airport	2443	2443
MEX	-99.0721	19.4363	MEX	4731	MMMX	MEX	large_airport	1824	1824
CUN	-86.8771	21.0365	MEX	4762	MMUN	CUN	large_airport	1852	1852
LOS	3.3212	6.5774	NGA	2118	DNMM	LOS	large_airport	273	273
ABV	7.2632	9.0068	NGA	2104	DNAA	ABV	large_airport	260	260
DOH	51.6081	25.2731	QAT	44686	OTHH	DOH	large_airport	11051	11051
MAD	-3.5626	40.4719	ESP	4019	LEMD	MAD	large_airport	1229	1229
NBO	36.9278	-1.3192	KEN	3206	HKJK	NBO	large_airport	4059	4059
CAI	31.4056	30.1219	EGY	3183	HECA	CAI	large_airport	1128	1128
JED	39.1565	21.6796	SAU	5097	OEJN	JED	large_airport	2072	2072
ADD	38.7993	8.9779	ETH	3157	HAAB	ADD	large_airport	1107	1107
KUL	101.7100	2.7456	MYS	26874	WMKK	KUL	large_airport	3304	3304
MNL	121.0200	14.5086	PHL	5689	RPLL	MNL	large_airport	2397	2397
SCL	-70.7858	-33.3930	CHL	6015	SCEL	SCL	large_airport	2650	2650
LIM	-77.1143	-12.0219	PER	6217	SPIM	LIM	large_airport	2789	2789
BOG	-74.1469	4.7016	COL	6104	SKBO	BOG	large_airport	2709	2709
MEM	-89.9767	35.0424	USA	3675	KMEM	MEM	large_airport	3473	3473
