code	longitude	latitude	name	source	source_id
SHA	121.75	31.25	Shanghai	WPI	59970
SGP	103.82	1.26	Keppel - (East Singapore)	WPI	50000
CMB	79.80	6.93	Colombo	UNLOCODE	LKCMB
CPT	18.35	-33.90	Cape Town	WPI	46770
SAN	-46.30	-24.00	Santos	WPI	12970
LAP	-118.25	33.72	Los Angeles	WPI	16080
BUS	129.05	35.07	Busan	WPI	60390
VAN	-123.18	49.29	Vancouver	WPI	18150
SYP	151.23	-33.85	Sydney	UNLOCODE	AUSYD
AKP	174.80	-36.84	Auckland	WPI	55060
MIA	-80.14	25.77	Miami	WPI	8640
NAS	-77.34	25.08	Nassau	UNLOCODE	BSNAS
RTA	50.16	26.64	Ras  Tannurah	WPI	48340
HOU	-95.02	29.73	Baytown	WPI	9170
RTM	4.00	51.95	Rotterdam	WPI	31140
JEA	55.03	25.00	Jebel Ali	UNLOCODE	AEJEA
JNP	72.95	18.95	Nhava Sheva (Jawaharlal Nehru)	UNLOCODE	INNSA
CHN	80.33	13.10	Chennai (ex Madras)	UNLOCODE	INMAA
YTN	114.27	22.58	Yantian	WPI	57857
NGB	121.85	29.92	Ningbo	WPI	59940
YOK	139.65	35.45	Yokohama Ko	WPI	61390
HNL	-157.86	21.31	Honolulu	WPI	56280
SEA	-122.34	47.60	Seattle	WPI	17730
ANC	-149.90	61.20	Anchorage	WPI	19800
DOV	1.31	51.13	Dover Harbor	WPI	35710
CAL	1.85	50.97	Calais	WPI	35750
PIR	23.64	37.94	Piraievs	WPI	42230
ALX	29.88	31.20	Al Iskandariyh (Alexandria)	WPI	45165
BCN	2.17	41.35	Barcelona	WPI	38550
CIV	11.79	42.10	Civitavecchia	WPI	39810
DUR	31.05	-29.88	Durban	WPI	46850
BUE	-58.36	-34.58	Buenos Aires	WPI	13760
LAG	3.39	6.45	Lagos	WPI	46130
MMB	39.67	-4.05	Mombasa	WPI	47100
TNG	-5.80	35.78	Tanger	WPI	45755
REK	-21.94	64.15	Reykjavík	UNLOCODE	ISREY
TOS	18.96	69.65	Tromsø	UNLOCODE	NOTOS
HBA	147.33	-42.88	Hobart	WPI	54760
MCM	166.67	-77.85	Mcmurdo Station	WPI	63130
VLA	131.90	43.10	Vladivostok	WPI	60610
QNG	120.30	36.07	Qingdao Gang	WPI	60140
KAR	66.99	24.82	Karachi	WPI	48600
CHT	91.80	22.28	Chattogram	UNLOCODE	BDCGP
