source	destination	sequence	longitude	latitude
SHA	SGP	0	121.750000	31.250000
SHA	SGP	1	121.839752	31.258596
SHA	SGP	2	121.944122	31.062345
SHA	SGP	3	122.669220	30.932268
SHA	SGP	4	122.891141	30.901897
SHA	SGP	5	122.878907	30.349364
SHA	SGP	6	122.875214	30.181935
SHA	SGP	7	122.652515	29.623632
SHA	SGP	8	122.557297	29.383970
SHA	SGP	9	122.239380	28.579698
SHA	SGP	10	121.300000	27.800000
SHA	SGP	11	120.787503	26.976762
SHA	SGP	12	120.232569	26.078521
SHA	SGP	13	120.000000	25.700000
SHA	SGP	14	119.820497	25.236972
SHA	SGP	15	119.761963	25.085599
SHA	SGP	16	119.523707	24.707707
SHA	SGP	17	119.338820	24.448861
SHA	SGP	18	118.980046	23.949944
SHA	SGP	19	118.724128	23.582665
SHA	SGP	20	118.203464	22.930938
SHA	SGP	21	118.030487	22.691517
SHA	SGP	22	117.437994	21.922538
SHA	SGP	23	116.501700	20.601113
SHA	SGP	24	115.841059	19.666279
SHA	SGP	25	114.338334	17.570129
SHA	SGP	26	112.965000	15.727800
SHA	SGP	27	111.478346	12.523981
SHA	SGP	28	111.053400	11.608200
SHA	SGP	29	110.806970	11.263464
SHA	SGP	30	110.027598	10.173186
SHA	SGP	31	108.702300	8.319200
SHA	SGP	32	104.482294	1.341312
SHA	SGP	33	104.145848	1.249295
SHA	SGP	34	103.861103	1.171415
SHA	SGP	35	103.763466	1.259893
SHA	SGP	36	103.820000	1.260000
SGP	CMB	0	103.820000	1.260000
SGP	CMB	1	103.763466	1.259893
SGP	CMB	2	103.658066	1.197766
SGP	CMB	3	103.600000	1.100000
SGP	CMB	4	102.000000	2.000000
SGP	CMB	5	101.316415	2.586072
SGP	CMB	6	100.600000	3.200000
SGP	CMB	7	99.763807	4.084523
SGP	CMB	8	98.128129	5.811729
SGP	CMB	9	94.326449	6.157121
SGP	CMB	10	90.000000	6.466400
SGP	CMB	11	85.947900	6.198300
SGP	CMB	12	81.900000	5.900000
SGP	CMB	13	80.100000	5.800000
SGP	CMB	14	79.826660	6.424484
SGP	CMB	15	79.789581	6.994585
SGP	CMB	16	79.800000	6.930000
CMB	CPT	0	79.800000	6.930000
CMB	CPT	1	79.789581	6.994585
CMB	CPT	2	78.868856	6.674926
CMB	CPT	3	78.019032	6.387793
CMB	CPT	4	73.845613	4.845613
CMB	CPT	5	73.560879	4.143884
CMB	CPT	6	70.000000	-0.000030
CMB	CPT	7	67.523700	-2.512000
CMB	CPT	8	67.449371	-2.586972
CMB	CPT	9	66.708666	-3.334083
CMB	CPT	10	66.029828	-6.084242
CMB	CPT	11	65.054317	-10.036300
CMB	CPT	12	63.938262	-14.090889
CMB	CPT	13	59.204526	-19.379363
CMB	CPT	14	58.000000	-20.700000
CMB	CPT	15	56.119753	-21.767695
CMB	CPT	16	48.100000	-26.400000
CMB	CPT	17	44.117600	-28.259500
CMB	CPT	18	40.000000	-30.000000
CMB	CPT	19	34.357900	-31.878900
CMB	CPT	20	28.500000	-33.500000
CMB	CPT	21	26.000000	-34.500000
CMB	CPT	22	22.000000	-35.000000
CMB	CPT	23	18.000000	-35.000000
CMB	CPT	24	18.237305	-33.840764
CMB	CPT	25	18.428192	-33.862433
CMB	CPT	26	18.350000	-33.900000
CPT	SAN	0	18.350000	-33.900000
CPT	SAN	1	18.428192	-33.862433
CPT	SAN	2	18.237305	-33.840764
CPT	SAN	3	18.000000	-35.000000
CPT	SAN	4	10.001621	-33.860140
CPT	SAN	5	6.861079	-33.412577
CPT	SAN	6	2.577253	-32.802083
CPT	SAN	7	0.001027	-32.434942
