source	destination	begins	kind	path_model	length_km	passages	origin_snap_km	destination_snap_km	ais_samples	ais_log_mean	ais_density	ais_band
SHA	SGP	0	cargo	SeaRoute 1.6.0 Marnet	4065.5		8.6	6.3	402	5.9424	0.4295	normal
SGP	CMB	1	fuel	SeaRoute 1.6.0 Marnet	2985.9	malacca	6.3	7.3	295	8.1780	0.5772	normal
CMB	CPT	2	bulk	SeaRoute 1.6.0 Marnet	8501.6	south_africa	7.3	8.3	845	3.8964	0.2685	sparse
CPT	SAN	3	cargo	SeaRoute 1.6.0 Marnet	6510.9		8.3	5.3	647	1.5667	0.0738	sparse
SHA	LAP	4	cargo	SeaRoute 1.6.0 Marnet	10640.2		8.6	5.4	1059	3.0380	0.2013	sparse
BUS	VAN	5	bulk	SeaRoute 1.6.0 Marnet	8717.3		15.7	4.0	867	2.3101	0.1409	sparse
SYP	AKP	0	ferry	SeaRoute 1.6.0 Marnet	2400.4		1.8	20.6	236	0.9565	0.0268	sparse
MIA	NAS	0	cruise	SeaRoute 1.6.0 Marnet	302.1		18.4	8.1	27	5.5694	0.4161	normal
RTA	SGP	0	fuel	SeaRoute 1.6.0 Marnet	6970.2	malacca,ormuz	9.8	6.3	692	7.8986	0.5638	normal
HOU	RTM	1	fuel	SeaRoute 1.6.0 Marnet	9344.0		3.4	6.3	929	3.7652	0.2550	sparse
JEA	JNP	0	cargo	SeaRoute 1.6.0 Marnet	2216.3	ormuz	35.9	15.0	216	8.8840	0.6174	normal
CHN	SGP	1	cargo	SeaRoute 1.6.0 Marnet	2989.3	malacca	16.4	6.3	295	6.2185	0.4497	normal
YTN	RTM	2	cargo	SeaRoute 1.6.0 Marnet	18198.2	malacca,gibraltar,suez,babalmandab	7.2	6.3	1813	8.1928	0.5906	normal
NGB	LAP	3	cargo	SeaRoute 1.6.0 Marnet	10789.0		4.5	5.4	1074	3.2452	0.2148	sparse
YOK	HNL	0	passenger	SeaRoute 1.6.0 Marnet	6563.7		9.9	25.3	651	4.2322	0.2819	sparse
SEA	ANC	0	cruise	SeaRoute 1.6.0 Marnet	3001.6		8.9	15.8	296	3.2096	0.2081	sparse
DOV	CAL	0	ferry	SeaRoute 1.6.0 Marnet	48.5		3.1	0.5	1	17.2169	1.0000	busy
PIR	ALX	0	passenger	SeaRoute 1.6.0 Marnet	974.1		3.1	11.9	94	11.2724	0.7114	busy
BCN	CIV	0	cruise	SeaRoute 1.6.0 Marnet	823.6		5.3	6.4	79	8.6717	0.6040	normal
DUR	SGP	2	bulk	SeaRoute 1.6.0 Marnet	9175.1	malacca	13.8	6.3	913	5.5098	0.4027	normal
SAN	RTM	2	cargo	SeaRoute 1.6.0 Marnet	10162.3		5.3	6.3	1011	4.1653	0.2752	sparse
VAN	YOK	3	bulk	SeaRoute 1.6.0 Marnet	8016.8		4.0	9.9	797	1.6976	0.0805	sparse
BUE	CPT	3	bulk	SeaRoute 1.6.0 Marnet	7161.6		30.0	8.3	710	1.2522	0.0537	sparse
LAG	RTM	1	fuel	SeaRoute 1.6.0 Marnet	7877.0		7.9	6.3	783	9.3419	0.6443	normal
MMB	JNP	1	cargo	SeaRoute 1.6.0 Marnet	4591.7		17.9	15.0	455	1.7809	0.0872	sparse
TNG	RTM	0	ro-ro	SeaRoute 1.6.0 Marnet	2540.0		19.4	6.3	250	12.8783	0.7852	busy
REK	TOS	0	fishing	SeaRoute 1.6.0 Marnet	2472.5		9.6	35.6	243	1.4066	0.0604	sparse
HBA	MCM	0	research	SeaRoute 1.6.0 Marnet	5736.0		13.0	962.9	475	0.1500	0.0067	sparse
BUS	VLA	0	ro-ro	SeaRoute 1.6.0 Marnet	961.2		15.7	13.7	92	5.6993	0.4228	normal
QNG	YOK	0	cargo	SeaRoute 1.6.0 Marnet	2055.0		5.3	9.9	202	13.3141	0.8121	busy
KAR	JEA	0	cargo	SeaRoute 1.6.0 Marnet	1413.1	ormuz	1.5	35.9	136	6.5273	0.4765	normal
KAR	CMB	0	cargo	SeaRoute 1.6.0 Marnet	2636.8		1.5	7.3	260	8.8029	0.6107	normal
CHT	SGP	0	cargo	SeaRoute 1.6.0 Marnet	2820.4	malacca	6.2	6.3	278	5.0987	0.3893	normal
MNG	CMB	0	bulk	SeaRoute 1.6.0 Marnet	2469.9		99.5	7.3	235	4.2713	0.3020	sparse
KOC	CMB	0	cargo	SeaRoute 1.6.0 Marnet	713.5		13.1	7.3	68	12.8435	0.7785	busy
MUM	JEA	0	fuel	SeaRoute 1.6.0 Marnet	2205.8	ormuz	4.5	35.9	215	8.1901	0.5839	normal
VIS	SGP	0	bulk	SeaRoute 1.6.0 Marnet	2927.2	malacca	12.8	6.3	289	4.8191	0.3758	normal
KOL	SGP	0	cargo	SeaRoute 1.6.0 Marnet	3046.8	malacca	45.2	6.3	298	4.5325	0.3423	normal
MLE	CMB	0	passenger	SeaRoute 1.6.0 Marnet	797.8		6.9	7.3	76	5.0173	0.3826	normal
SYP	MEL	0	cargo	SeaRoute 1.6.0 Marnet	1107.8		1.8	2.8	107	4.8127	0.3691	normal
MEL	FRE	0	cargo	SeaRoute 1.6.0 Marnet	3126.5		2.8	0.5	309	2.2885	0.1342	sparse
BNE	SYP	0	cargo	SeaRoute 1.6.0 Marnet	946.6		3.4	1.8	91	8.6453	0.5973	normal
DAR	SGP	0	cargo	SeaRoute 1.6.0 Marnet	3584.3		30.0	6.3	353	6.1733	0.4430	normal
FRE	SGP	0	bulk	SeaRoute 1.6.0 Marnet	4327.2	sunda	0.5	6.3	428	4.5675	0.3557	normal
PTK	CMB	0	cargo	SeaRoute 1.6.0 Marnet	2638.7	malacca	0.9	7.3	260	7.3930	0.5570	normal
JKT	SGP	0	cargo	SeaRoute 1.6.0 Marnet	959.4		1.9	6.3	92	11.0049	0.6980	busy
MNL	SGP	0	cargo	SeaRoute 1.6.0 Marnet	2534.4		4.6	6.3	250	2.4303	0.1544	sparse
LCH	SGP	0	cargo	SeaRoute 1.6.0 Marnet	1496.9		4.2	6.3	146	4.2507	0.2953	sparse
HCM	SGP	0	cargo	SeaRoute 1.6.0 Marnet	1232.3		50.5	6.3	116	7.1408	0.5235	normal
ODS	PIR	0	bulk	SeaRoute 1.6.0 Marnet	1317.9	bosporus	17.6	3.1	128	15.5961	0.9597	busy
NOV	PIR	0	fuel	SeaRoute 1.6.0 Marnet	1509.5	bosporus	15.0	3.1	147	13.4234	0.8389	busy
KAR	RTM	0	cargo	SeaRoute 1.6.0 Marnet	11467.8	gibraltar,suez,babalmandab	1.5	6.3	1141	9.9024	0.6644	normal
CMB	RTM	0	cargo	SeaRoute 1.6.0 Marnet	12639.7	gibraltar,suez,babalmandab	7.3	6.3	1258	8.9196	0.6309	normal
SGP	CPT	0	cargo	SeaRoute 1.6.0 Marnet	10594.2	south_africa,sunda	6.3	8.3	1054	2.6216	0.1611	sparse
CPT	RTM	0	cargo	SeaRoute 1.6.0 Marnet	11683.7		8.3	6.3	1163	6.3604	0.4631	normal
WEL	SYP	0	cargo	SeaRoute 1.6.0 Marnet	2343.7		36.0	1.8	229	0.7080	0.0134	sparse
POM	SYP	1	bulk	SeaRoute 1.6.0 Marnet	3239.6		20.8	1.8	320	4.7961	0.3624	normal
HON	POM	2	fuel	SeaRoute 1.6.0 Marnet	1627.9		65.0	20.8	154	1.8226	0.0940	sparse
NOU	SYP	3	ro-ro	SeaRoute 1.6.0 Marnet	2047.2		18.8	1.8	201	1.1762	0.0470	sparse
API	AKP	0	passenger	SeaRoute 1.6.0 Marnet	3223.4		0.7	20.6	318	0.9676	0.0336	sparse
NUK	AKP	1	cargo	SeaRoute 1.6.0 Marnet	2203.7		34.4	20.6	215	0.7105	0.0201	sparse
DIL	SYP	2	bulk	SeaRoute 1.6.0 Marnet	5119.6		1.1	1.8	508	3.6814	0.2416	sparse
SRB	SGP	3	fuel	SeaRoute 1.6.0 Marnet	1455.8		9.9	6.3	142	9.9887	0.6779	busy
