diagnostic,phase_version,variant,seed,threads,runs,checksum,source,reference_timing_csv,median_total_ns,median_prepare_ns,prepare_share,median_csr_rebuild_ns,csr_rebuild_share,median_csr_reuse_publish_ns,csr_reuse_publish_share,median_other_search_ns,other_search_share,median_commit_ns,commit_share,median_csr_count_traversal_ns,csr_count_traversal_of_rebuild,median_csr_fill_traversal_ns,csr_fill_traversal_of_rebuild,median_csr_rebuild_residual_ns,csr_rebuild_residual_of_rebuild,csr_fill_traversal_steps
not_comparable_to_release,2,serial,31,1,5,cf299cf42034d25c,serial/seed-31/threads-1/run-{1..5},/Users/keys/Coding/git/github/uq/cosc3500/results/profile/run-20260924T110021Z-rG8ANs/profile-summary.csv,89487493,83847,0.000938,33858572,0.377876,55654128,0.621128,0,0.000000,601,0.000007,14264694,0.421287,10857712,0.320315,8708324,0.258086,1
not_comparable_to_release,2,serial,32,1,5,71694acd167d9539,serial/seed-32/threads-1/run-{1..5},/Users/keys/Coding/git/github/uq/cosc3500/results/profile/run-20260924T110021Z-rG8ANs/profile-summary.csv,89221421,90171,0.001009,33685267,0.377651,55403815,0.621377,0,0.000000,482,0.000005,14117347,0.419759,10846321,0.323043,8700760,0.258157,1
not_comparable_to_release,2,serial,33,1,5,31321f12775b1892,serial/seed-33/threads-1/run-{1..5},/Users/keys/Coding/git/github/uq/cosc3500/results/profile/run-20260924T110021Z-rG8ANs/profile-summary.csv,89194343,84520,0.000948,33682001,0.377743,55399068,0.621302,0,0.000000,740,0.000008,14119542,0.419201,10845409,0.322450,8701700,0.258349,1
not_comparable_to_release,2,openmp,31,1,5,cf299cf42034d25c,openmp/seed-31/threads-1/run-{1..5},/Users/keys/Coding/git/github/uq/cosc3500/results/profile/run-20260924T110021Z-rG8ANs/profile-summary.csv,89246520,85179,0.000946,33630404,0.376825,55559020,0.621878,0,0.000000,691,0.000008,14114712,0.418056,10849828,0.322496,8771310,0.260297,1
not_comparable_to_release,2,openmp,31,2,5,cf299cf42034d25c,openmp/seed-31/threads-2/run-{1..5},/Users/keys/Coding/git/github/uq/cosc3500/results/profile/run-20260924T110021Z-rG8ANs/profile-summary.csv,61884165,86393,0.001391,33539774,0.542927,28159144,0.455556,0,0.000000,641,0.000010,13913244,0.415495,10844578,0.322810,8755532,0.260821,1
not_comparable_to_release,2,openmp,31,4,5,cf299cf42034d25c,openmp/seed-31/threads-4/run-{1..5},/Users/keys/Coding/git/github/uq/cosc3500/results/profile/run-20260924T110021Z-rG8ANs/profile-summary.csv,48223066,84959,0.001762,33614775,0.696700,14449751,0.301499,0,0.000000,830,0.000017,14034853,0.417825,10859226,0.323905,8691572,0.258564,1
not_comparable_to_release,2,openmp,31,8,5,cf299cf42034d25c,openmp/seed-31/threads-8/run-{1..5},/Users/keys/Coding/git/github/uq/cosc3500/results/profile/run-20260924T110021Z-rG8ANs/profile-summary.csv,44419737,85029,0.001910,33717457,0.758909,10584957,0.239096,0,0.000000,2352,0.000053,14143506,0.419093,10821885,0.320957,8735344,0.259571,1
not_comparable_to_release,2,openmp,32,1,5,71694acd167d9539,openmp/seed-32/threads-1/run-{1..5},/Users/keys/Coding/git/github/uq/cosc3500/results/profile/run-20260924T110021Z-rG8ANs/profile-summary.csv,89055062,87544,0.000983,33556886,0.376811,55521981,0.622195,0,0.000000,630,0.000007,13906441,0.414414,10833617,0.323712,8761053,0.261263,1
not_comparable_to_release,2,openmp,32,2,5,71694acd167d9539,openmp/seed-32/threads-2/run-{1..5},/Users/keys/Coding/git/github/uq/cosc3500/results/profile/run-20260924T110021Z-rG8ANs/profile-summary.csv,61725498,87304,0.001414,33477216,0.542356,28160377,0.456220,0,0.000000,833,0.000014,13840207,0.414799,10864385,0.324223,8750914,0.261399,1
not_comparable_to_release,2,openmp,32,4,5,71694acd167d9539,openmp/seed-32/threads-4/run-{1..5},/Users/keys/Coding/git/github/uq/cosc3500/results/profile/run-20260924T110021Z-rG8ANs/profile-summary.csv,48074887,85130,0.001769,33597262,0.697037,14430558,0.301151,0,0.000000,690,0.000014,14047256,0.418364,10815062,0.322215,8720607,0.259421,1
