variant,engine,opt_level,seed,threads,case,samples,median_ns_per_unit,ci_low_ns_per_unit,ci_high_ns_per_unit,cv_percent,unit,state_bytes,pair_evaluations,pair_list_rebuilds,pair_list_bytes,peak_rss_bytes,throughput_munits_per_s,checksum,verified,page_policy,host_page_bytes,advised_bytes,anon_huge_bytes,page_backing_verified,speedup_vs_m1_l0,speedup_vs_m2_openmp_p1,parallel_efficiency
baseline,m1,0,31,1,continuous/predator-prey/100k,5,358.666180,356.636455,362.728243,0.681057,entity_updates,6600012,0,0,0,18358272,2.788108,cf299cf42034d25c,true,none,0,0,0,false,1.000000,,
baseline,m1,0,32,1,continuous/predator-prey/100k,5,357.786756,356.138576,358.016761,0.260098,entity_updates,6600012,0,0,0,18362368,2.794961,71694acd167d9539,true,none,0,0,0,false,1.000000,,
baseline,m1,0,33,1,continuous/predator-prey/100k,5,358.239308,355.496068,367.361576,1.276655,entity_updates,6600012,0,0,0,18309120,2.791430,31321f12775b1892,true,none,0,0,0,false,1.000000,,
final-serial,m2,7,31,1,continuous/predator-prey/100k,5,95.014580,94.946260,95.689347,0.327280,entity_updates,6600012,1640031,1,5835852,19603456,10.524700,cf299cf42034d25c,true,none,0,0,0,false,3.774854,,
final-serial,m2,7,32,1,continuous/predator-prey/100k,5,94.851199,94.780968,95.598688,0.364874,entity_updates,6600012,1639570,1,5835916,19603456,10.542829,71694acd167d9539,true,none,0,0,0,false,3.772085,,
final-serial,m2,7,33,1,continuous/predator-prey/100k,5,94.944902,94.792264,96.897953,0.918275,entity_updates,6600012,1640111,1,5837580,19582976,10.532424,31321f12775b1892,true,none,0,0,0,false,3.773128,,
final-openmp,m2,7,31,1,continuous/predator-prey/100k,5,95.457686,95.330860,95.652759,0.132311,entity_updates,6600012,1640031,1,5835852,19984384,10.475846,cf299cf42034d25c,true,none,0,0,0,false,3.757332,1.000000,1.000000
final-openmp,m2,7,31,2,continuous/predator-prey/100k,5,67.631035,67.541757,67.768336,0.127848,entity_updates,6600012,1640031,1,5835852,20017152,14.786111,cf299cf42034d25c,true,none,0,0,0,false,5.303278,1.411448,0.705724
final-openmp,m2,7,31,4,continuous/predator-prey/100k,5,53.845809,53.691418,54.080874,0.269062,entity_updates,6600012,1640031,1,5835852,22069248,18.571548,cf299cf42034d25c,true,none,0,0,0,false,6.660986,1.772797,0.443199
final-openmp,m2,7,31,8,continuous/predator-prey/100k,5,51.735278,51.695828,51.780944,0.076928,entity_updates,6600012,1640031,1,5835852,23986176,19.329170,cf299cf42034d25c,true,none,0,0,0,false,6.932720,1.845118,0.230640
final-openmp,m2,7,32,1,continuous/predator-prey/100k,5,95.184898,95.064615,95.539074,0.203472,entity_updates,6600012,1639570,1,5835916,20017152,10.505868,71694acd167d9539,true,none,0,0,0,false,3.758861,1.000000,1.000000
final-openmp,m2,7,32,2,continuous/predator-prey/100k,5,67.521240,67.444577,67.615576,0.101741,entity_updates,6600012,1639570,1,5835916,20013056,14.810155,71694acd167d9539,true,none,0,0,0,false,5.298877,1.409703,0.704852
final-openmp,m2,7,32,4,continuous/predator-prey/100k,5,53.682685,53.560623,54.215938,0.478432,entity_updates,6600012,1639570,1,5835916,19980288,18.627980,71694acd167d9539,true,none,0,0,0,false,6.664845,1.773102,0.443276
final-openmp,m2,7,32,8,continuous/predator-prey/100k,5,52.130964,50.955274,52.278002,1.185346,entity_updates,6600012,1639570,1,5835916,24051712,19.182458,71694acd167d9539,true,none,0,0,0,false,6.863229,1.825880,0.228235
final-openmp,m2,7,33,1,continuous/predator-prey/100k,5,95.134244,95.069634,95.283094,0.085358,entity_updates,6600012,1640111,1,5837580,19984384,10.511462,31321f12775b1892,true,none,0,0,0,false,3.765619,1.000000,1.000000
final-openmp,m2,7,33,2,continuous/predator-prey/100k,5,67.600302,67.538047,68.924599,0.873329,entity_updates,6600012,1640111,1,5837580,19980288,14.792833,31321f12775b1892,true,none,0,0,0,false,5.299374,1.407305,0.703653
final-openmp,m2,7,33,4,continuous/predator-prey/100k,5,56.059277,53.755555,59.135262,3.980060,entity_updates,6600012,1640111,1,5837580,19984384,17.838261,31321f12775b1892,true,none,0,0,0,false,6.390366,1.697029,0.424257
final-openmp,m2,7,33,8,continuous/predator-prey/100k,5,52.597430,52.164449,52.808789,0.529260,entity_updates,6600012,1640111,1,5837580,24059904,19.012336,31321f12775b1892,true,none,0,0,0,false,6.810966,1.808724,0.226091
