seed,threads,median_ns_per_unit,speedup,efficiency,checksum
31,1,95.457686,1.000000,1.000000,cf299cf42034d25c
31,2,67.631035,1.411448,0.705724,cf299cf42034d25c
31,4,53.845809,1.772797,0.443199,cf299cf42034d25c
31,8,51.735278,1.845118,0.230640,cf299cf42034d25c
32,1,95.184898,1.000000,1.000000,71694acd167d9539
32,2,67.521240,1.409703,0.704852,71694acd167d9539
32,4,53.682685,1.773102,0.443276,71694acd167d9539
32,8,52.130964,1.825880,0.228235,71694acd167d9539
33,1,95.134244,1.000000,1.000000,31321f12775b1892
33,2,67.600302,1.407305,0.703653,31321f12775b1892
33,4,56.059277,1.697029,0.424257,31321f12775b1892
33,8,52.597430,1.808724,0.226091,31321f12775b1892
