variant,engine,seed,threads,median_ns_per_unit,checksum
baseline,m1,31,1,358.666180,cf299cf42034d25c
baseline,m1,32,1,357.786756,71694acd167d9539
baseline,m1,33,1,358.239308,31321f12775b1892
final-serial,m2,31,1,95.014580,cf299cf42034d25c
final-serial,m2,32,1,94.851199,71694acd167d9539
final-serial,m2,33,1,94.944902,31321f12775b1892
final-openmp,m2,31,1,95.457686,cf299cf42034d25c
final-openmp,m2,31,2,67.631035,cf299cf42034d25c
final-openmp,m2,31,4,53.845809,cf299cf42034d25c
final-openmp,m2,31,8,51.735278,cf299cf42034d25c
final-openmp,m2,32,1,95.184898,71694acd167d9539
final-openmp,m2,32,2,67.521240,71694acd167d9539
final-openmp,m2,32,4,53.682685,71694acd167d9539
final-openmp,m2,32,8,52.130964,71694acd167d9539
final-openmp,m2,33,1,95.134244,31321f12775b1892
final-openmp,m2,33,2,67.600302,31321f12775b1892
final-openmp,m2,33,4,56.059277,31321f12775b1892
final-openmp,m2,33,8,52.597430,31321f12775b1892
