case,entities,threads,median_ns_per_unit,min_seed_ns_per_unit,max_seed_ns_per_unit,median_speedup_vs_p1,median_efficiency
continuous/predator-prey/100k,100000,1,94.684373,94.413439,94.983739,1.000000,1.000000
continuous/predator-prey/100k,100000,2,67.324209,66.945518,67.467765,1.407839,0.703919
continuous/predator-prey/100k,100000,4,53.514707,53.250189,53.631094,1.771057,0.442764
continuous/predator-prey/100k,100000,8,51.699915,51.521664,52.261275,1.831422,0.228928
continuous/predator-prey/200k,200000,1,101.306513,101.205709,101.499406,1.000000,1.000000
continuous/predator-prey/200k,200000,2,72.729041,72.649982,72.790130,1.394412,0.697206
continuous/predator-prey/200k,200000,4,58.017690,57.829060,58.151149,1.746131,0.436533
continuous/predator-prey/200k,200000,8,53.688522,53.006231,53.982422,1.885053,0.235632
continuous/predator-prey/400k,400000,1,110.450203,110.283500,110.872793,1.000000,1.000000
continuous/predator-prey/400k,400000,2,81.299509,81.164282,81.799359,1.356509,0.678254
continuous/predator-prey/400k,400000,4,65.427365,65.312666,66.279079,1.688135,0.422034
continuous/predator-prey/400k,400000,8,59.458168,59.448789,59.951773,1.854808,0.231851
continuous/predator-prey/800k,800000,1,120.254451,120.055228,120.671591,1.000000,1.000000
continuous/predator-prey/800k,800000,2,94.920387,94.378104,94.926599,1.271293,0.635646
continuous/predator-prey/800k,800000,4,75.618224,75.464143,77.352442,1.590284,0.397571
continuous/predator-prey/800k,800000,8,65.394011,65.335079,66.286590,1.835875,0.229484
