case,entities,variant,seed,threads,samples,median_ns_per_unit,ci_low_ns_per_unit,ci_high_ns_per_unit,cv_percent,state_bytes,median_elapsed_seconds,speedup_vs_openmp_p1,efficiency,checksum,pair_evaluations,pair_list_rebuilds,pair_list_bytes
continuous/predator-prey/100k,100000,serial,31,1,5,94.713578,94.629827,94.772481,0.063060,6600012,0.094713578,1.002852,,cf299cf42034d25c,1640031,1,5835852
continuous/predator-prey/100k,100000,openmp,31,1,5,94.983739,94.934188,95.024750,0.036933,6600012,0.094983739,1.000000,1.000000,cf299cf42034d25c,1640031,1,5835852
continuous/predator-prey/100k,100000,openmp,31,2,5,67.467765,67.319362,69.124479,1.142071,6600012,0.067467765,1.407839,0.703919,cf299cf42034d25c,1640031,1,5835852
continuous/predator-prey/100k,100000,openmp,31,4,5,53.631094,53.579304,53.907014,0.240835,6600012,0.053631094,1.771057,0.442764,cf299cf42034d25c,1640031,1,5835852
continuous/predator-prey/100k,100000,openmp,31,8,5,52.261275,51.726206,52.389024,0.498032,6600012,0.052261275,1.817478,0.227185,cf299cf42034d25c,1640031,1,5835852
continuous/predator-prey/100k,100000,serial,32,1,5,94.575575,94.442770,94.744230,0.121071,6600012,0.094575575,1.001150,,71694acd167d9539,1639570,1,5835916
continuous/predator-prey/100k,100000,openmp,32,1,5,94.684373,94.388379,94.837147,0.174515,6600012,0.094684373,1.000000,1.000000,71694acd167d9539,1639570,1,5835916
continuous/predator-prey/100k,100000,openmp,32,2,5,67.324209,67.283466,67.750057,0.295863,6600012,0.067324209,1.406394,0.703197,71694acd167d9539,1639570,1,5835916
continuous/predator-prey/100k,100000,openmp,32,4,5,53.514707,53.485423,53.868196,0.372666,6600012,0.053514707,1.769315,0.442329,71694acd167d9539,1639570,1,5835916
continuous/predator-prey/100k,100000,openmp,32,8,5,51.699915,51.385409,52.343813,0.703532,6600012,0.051699915,1.831422,0.228928,71694acd167d9539,1639570,1,5835916
continuous/predator-prey/100k,100000,serial,33,1,5,94.399700,94.190942,94.771363,0.241589,6600012,0.094399700,1.000146,,31321f12775b1892,1640111,1,5837580
continuous/predator-prey/100k,100000,openmp,33,1,5,94.413439,94.358249,94.569436,0.093614,6600012,0.094413439,1.000000,1.000000,31321f12775b1892,1640111,1,5837580
continuous/predator-prey/100k,100000,openmp,33,2,5,66.945518,66.880367,66.979485,0.061520,6600012,0.066945518,1.410303,0.705151,31321f12775b1892,1640111,1,5837580
continuous/predator-prey/100k,100000,openmp,33,4,5,53.250189,53.089104,53.750753,0.480935,6600012,0.053250189,1.773016,0.443254,31321f12775b1892,1640111,1,5837580
continuous/predator-prey/100k,100000,openmp,33,8,5,51.521664,50.666595,51.771945,0.914959,6600012,0.051521664,1.832500,0.229062,31321f12775b1892,1640111,1,5837580
continuous/predator-prey/200k,200000,serial,31,1,5,101.579292,101.312986,101.690849,0.137798,13200012,0.203158584,0.999214,,b7a3c892b5d6d297,3283740,1,11682876
continuous/predator-prey/200k,200000,openmp,31,1,5,101.499406,101.410133,103.886628,1.052589,13200012,0.202998812,1.000000,1.000000,b7a3c892b5d6d297,3283740,1,11682876
continuous/predator-prey/200k,200000,openmp,31,2,5,72.790130,72.718610,72.947883,0.117510,13200012,0.145580260,1.394412,0.697206,b7a3c892b5d6d297,3283740,1,11682876
continuous/predator-prey/200k,200000,openmp,31,4,5,58.151149,57.991684,59.488483,1.189807,13200012,0.116302298,1.745441,0.436360,b7a3c892b5d6d297,3283740,1,11682876
continuous/predator-prey/200k,200000,openmp,31,8,5,53.982422,53.880830,54.262311,0.294037,13200012,0.107964844,1.880231,0.235029,b7a3c892b5d6d297,3283740,1,11682876
continuous/predator-prey/200k,200000,serial,32,1,5,101.469832,101.355616,101.665297,0.139101,13200012,0.202939664,0.998390,,115eaada2dfcb972,3285213,1,11684692
continuous/predator-prey/200k,200000,openmp,32,1,5,101.306513,101.257754,101.795554,0.223884,13200012,0.202613026,1.000000,1.000000,115eaada2dfcb972,3285213,1,11684692
